"","Time","Temperature"
"1","2013-01-01 00:10:00",75.2
"2","2013-01-01 00:40:00",75.2
"3","2013-01-01 01:10:00",75.2
"4","2013-01-01 01:40:00",73.4
"5","2013-01-01 02:10:00",73.4
"6","2013-01-01 02:30:00",71
"7","2013-01-01 02:40:00",73.4
"8","2013-01-01 03:10:00",73.4
"9","2013-01-01 03:40:00",75.2
"10","2013-01-01 04:10:00",73.4
"11","2013-01-01 05:10:00",73.4
"12","2013-01-01 05:40:00",73.4
"13","2013-01-01 06:10:00",73.4
"14","2013-01-01 06:40:00",73.4
"15","2013-01-01 07:10:00",75.2
"16","2013-01-01 07:40:00",75.2
"17","2013-01-01 08:10:00",75.2
"18","2013-01-01 08:30:00",72
"19","2013-01-01 09:10:00",78.8
"20","2013-01-01 09:40:00",78.8
"21","2013-01-01 10:10:00",80.6
"22","2013-01-01 10:40:00",82.4
"23","2013-01-01 11:10:00",82.4
"24","2013-01-01 11:30:00",85
"25","2013-01-01 11:40:00",84.2
"26","2013-01-01 12:10:00",82.4
"27","2013-01-01 12:40:00",84.2
"28","2013-01-01 13:40:00",82.4
"29","2013-01-01 14:10:00",82.4
"30","2013-01-01 14:30:00",84
"31","2013-01-01 14:40:00",82.4
"32","2013-01-01 15:10:00",82.4
"33","2013-01-01 15:40:00",82.4
"34","2013-01-01 16:10:00",82.4
"35","2013-01-01 16:40:00",80.6
"36","2013-01-01 17:10:00",80.6
"37","2013-01-01 17:30:00",81
"38","2013-01-01 17:40:00",80.6
"39","2013-01-01 18:40:00",78.8
"40","2013-01-01 19:10:00",78.8
"41","2013-01-01 19:40:00",78.8
"42","2013-01-01 20:10:00",78.8
"43","2013-01-01 20:30:00",76
"44","2013-01-01 20:40:00",77
"45","2013-01-01 21:10:00",77
"46","2013-01-01 21:40:00",77
"47","2013-01-01 22:10:00",77
"48","2013-01-01 22:40:00",77
"49","2013-01-01 23:10:00",77
"50","2013-01-01 23:30:00",74
"51","2013-01-01 23:40:00",77
"52","2013-01-02 00:10:00",77
"53","2013-01-02 00:40:00",77
"54","2013-01-02 01:10:00",75.2
"55","2013-01-02 01:40:00",75.2
"56","2013-01-02 02:10:00",75.2
"57","2013-01-02 02:30:00",72
"58","2013-01-02 02:40:00",75.2
"59","2013-01-02 03:10:00",75.2
"60","2013-01-02 03:40:00",75.2
"61","2013-01-02 04:10:00",75.2
"62","2013-01-02 04:40:00",73.4
"63","2013-01-02 05:10:00",73.4
"64","2013-01-02 05:30:00",71
"65","2013-01-02 05:40:00",73.4
"66","2013-01-02 06:10:00",73.4
"67","2013-01-02 06:40:00",75.2
"68","2013-01-02 07:10:00",75.2
"69","2013-01-02 07:40:00",75.2
"70","2013-01-02 08:10:00",75.2
"71","2013-01-02 08:30:00",74
"72","2013-01-02 08:40:00",75.2
"73","2013-01-02 09:10:00",75.2
"74","2013-01-02 09:40:00",77
"75","2013-01-02 10:10:00",77
"76","2013-01-02 10:40:00",77
"77","2013-01-02 11:10:00",78.8
"78","2013-01-02 11:30:00",81
"79","2013-01-02 12:10:00",80.6
"80","2013-01-02 12:40:00",80.6
"81","2013-01-02 13:10:00",80.6
"82","2013-01-02 13:40:00",82.4
"83","2013-01-02 14:10:00",84.2
"84","2013-01-02 14:30:00",85
"85","2013-01-02 14:40:00",84.2
"86","2013-01-02 15:10:00",84.2
"87","2013-01-02 15:40:00",82.4
"88","2013-01-02 16:10:00",82.4
"89","2013-01-02 16:40:00",82.4
"90","2013-01-02 17:10:00",82.4
"91","2013-01-02 17:30:00",81
"92","2013-01-02 17:40:00",80.6
"93","2013-01-02 18:10:00",78.8
"94","2013-01-02 19:10:00",77
"95","2013-01-02 19:40:00",77
"96","2013-01-02 20:10:00",77
"97","2013-01-02 20:30:00",74
"98","2013-01-02 20:40:00",75.2
"99","2013-01-02 21:10:00",75.2
"100","2013-01-02 21:40:00",75.2
"101","2013-01-02 22:10:00",75.2
"102","2013-01-02 22:40:00",73.4
"103","2013-01-02 23:10:00",73.4
"104","2013-01-02 23:30:00",69
"105","2013-01-02 23:40:00",73.4
"106","2013-01-03 00:10:00",73.4
"107","2013-01-03 00:40:00",73.4
"108","2013-01-03 01:10:00",73.4
"109","2013-01-03 01:40:00",71.6
